,return,iv,ive,rv
2022-01-19,,106.5769,108.6035,108.84
2022-02-17,,108.6035,97.9572,107.98
2022-03-18,,97.9572,93.7683,74.08
2022-04-18,,93.7683,121.381,131.05
2022-05-17,,121.381,135.254,98.59
2022-06-15,,135.254,130.7926,111.97
2022-07-14,,130.7926,112.9181,108.63
2022-08-12,,112.9181,113.3733,96.95
2022-09-12,,113.3733,115.1639,78.2
2022-10-11,,115.1639,113.5163,96.13
2022-11-09,,113.5163,112.4085,100.46
2022-12-08,,112.4085,106.101,74.35
2023-01-06,,106.101,100.3452,119.94
2023-02-06,,100.3452,98.813,85.16
2023-03-07,,98.813,116.273,140.29
2023-04-05,,116.273,119.3148,123.96
2023-05-04,,119.3148,108.6057,99.15
2023-06-02,,108.6057,99.718,80.5
2023-07-03,,99.718,94.1636,96.0
2023-08-01,,94.1636,98.2739,94.61
2023-08-30,,98.2739,93.5983,59.37
2023-09-28,,93.5983,103.6282,90.34
2023-10-27,,103.6282,99.7399,73.18
2023-11-27,,99.7399,126.582,84.08
2023-12-26,,126.582,97.1315,105.43
2024-01-24,,97.1315,113.2752,104.46
2024-02-22,,113.2752,114.5072,103.07
2024-03-22,,114.5072,109.1872,103.68
2024-04-22,,109.1872,96.4366,79.6
2024-05-21,,96.4366,97.8522,55.22
2024-06-19,,97.8522,102.5343,94.42
2024-07-18,,102.5343,91.3464,84.98
