,return,iv,ive,rv
2022-01-19,,83.7532,78.1184,77.66
2022-02-17,,78.1184,86.1634,113.71
2022-03-18,,86.1634,82.3068,69.21
2022-04-18,,82.3068,81.5611,85.24
2022-05-17,,81.5611,83.5669,84.06
2022-06-15,,83.5669,77.4892,62.09
2022-07-14,,77.4892,66.8742,61.97
2022-08-12,,66.8742,68.3359,58.49
2022-09-12,,68.3359,77.02,75.91
2022-10-11,,77.02,74.772,82.04
2022-11-09,,74.772,68.8413,47.32
2022-12-08,,68.8413,66.583,44.29
2023-01-06,,66.583,69.0047,49.41
2023-02-06,,69.0047,56.4272,56.83
2023-03-07,,56.4272,59.3118,56.74
2023-04-05,,59.3118,58.671,51.79
2023-05-04,,58.671,51.294,35.52
2023-06-02,,51.294,47.8447,45.13
2023-07-03,,47.8447,43.6261,29.91
2023-08-01,,43.6261,44.2039,33.09
2023-08-30,,44.2039,48.7226,31.38
2023-09-28,,48.7226,53.6305,38.08
2023-10-27,,53.6305,42.6884,57.74
2023-11-27,,42.6884,48.308,47.58
2023-12-26,,48.308,48.6128,29.86
2024-01-24,,48.6128,59.6135,106.52
2024-02-22,,59.6135,59.0562,43.88
2024-03-22,,59.0562,62.4459,39.41
2024-04-22,,62.4459,55.6632,79.24
2024-05-21,,55.6632,56.2674,46.69
2024-06-19,,56.2674,60.6027,44.05
2024-07-18,,60.6027,61.3473,69.44
