,return,iv,ive,rv
2022-01-19,,47.5317,50.4813,54.55
2022-02-17,,50.4813,56.3836,98.59
2022-03-18,,56.3836,51.7956,38.66
2022-04-18,,51.7956,58.724,70.91
2022-05-17,,58.724,57.2031,63.77
2022-06-15,,57.2031,56.4948,47.33
2022-07-14,,56.4948,50.0383,45.19
2022-08-12,,50.0383,49.5251,39.21
2022-09-12,,49.5251,54.9376,52.82
2022-10-11,,54.9376,50.1735,47.48
2022-11-09,,50.1735,45.5448,56.87
2022-12-08,,45.5448,44.2009,31.03
2023-01-06,,44.2009,40.8718,26.77
2023-02-06,,40.8718,41.7501,97.32
2023-03-07,,41.7501,44.7096,37.11
2023-04-05,,44.7096,49.6575,38.66
2023-05-04,,49.6575,45.3361,57.02
2023-06-02,,45.3361,43.7623,34.25
2023-07-03,,43.7623,46.0707,32.88
2023-08-01,,46.0707,17.0492,154.29
2023-08-30,,17.0492,16.2915,6.1
2023-09-28,,16.2915,19.7909,11.44
2023-10-27,,19.7909,24.8568,18.85
2023-11-27,,24.8568,24.6111,10.02
2023-12-26,,24.6111,24.5899,8.83
2024-01-24,,24.5899,33.2103,19.22
2024-02-22,,33.2103,37.6382,11.26
2024-03-22,,37.6382,50.357,28.83
2024-04-22,,50.357,61.343,26.0
2024-05-21,,61.343,76.8327,19.21
2024-06-19,,76.8327,74.3326,25.17
2024-07-18,,74.3326,85.2932,33.55
