,return,iv,ive,rv
2022-05-17,,115.6098,142.1483,130.99
2022-06-15,,142.1483,143.5315,149.73
2022-07-14,,143.5315,132.0618,38.78
2022-08-12,,132.0618,99.5338,66.59
2022-09-12,,99.5338,99.9569,88.07
2022-10-11,,99.9569,133.1603,205.71
2022-11-09,,133.1603,107.3494,124.9
2022-12-08,,107.3494,109.3023,82.38
2023-01-06,,109.3023,106.5058,61.12
2023-02-06,,106.5058,82.8267,21.09
2023-03-07,,82.8267,65.4655,71.88
2023-04-05,,65.4655,61.3411,21.65
2023-05-04,,61.3411,67.7144,22.83
2023-06-02,,67.7144,55.1412,13.81
2023-07-03,,55.1412,101.6119,163.67
2023-08-01,,101.6119,98.6286,75.68
2023-08-30,,98.6286,94.4618,36.13
2023-09-28,,94.4618,93.3187,27.34
2023-10-27,,93.3187,100.6537,41.87
2023-11-27,,100.6537,97.3551,32.25
2023-12-26,,97.3551,150.5092,260.8
2024-01-24,,150.5092,145.8802,149.06
2024-02-22,,145.8802,161.1708,125.69
2024-03-22,,161.1708,165.9693,221.11
2024-04-22,,165.9693,111.4486,104.69
2024-05-21,,111.4486,150.533,99.27
2024-06-19,,150.533,149.1912,154.82
2024-07-18,,149.1912,142.0067,68.75
