PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2023-06-13,MET,27.5805,27.8712,26.1022,26.018,57.16,7442142.0,6087937.0,5199665.0,9151.608046885223,7486.341061233485,6394.032263172008,0.03572082604010954,16775.0,42250.3369,40.72,29.97,28.25,39.95,3.1932954880608353,26.830867223288205,27.152502283399222,27.44773559767727,25.4829,23.83,Multi-line Insurance
2023-06-14,MET,28.2649,28.7483,27.9361,27.9805,52.35,4402625.0,6000715.0,5196937.0,5413.911529425004,7379.08409716784,6390.677639361833,0.07541723756016883,35613.0,41308.3775,41.42,30.08,26.31,35.91,3.1932954880608353,27.53390687341194,27.847423076651097,28.337945459930577,25.6648,23.97,Multi-line Insurance
2023-06-15,MET,27.9461,28.3488,27.1998,27.1197,56.36,5212850.0,5960216.0,5213704.0,6806.87887226852,7782.780698573101,6807.994015531211,0.046768354329486485,22297.0,42242.68,41.07,30.12,27.23,36.69,3.1932954880608353,27.20654261227842,27.523787988029554,27.93257706406625,26.5831,23.58,Multi-line Insurance
2023-06-16,MET,27.0793,27.2748,25.2894,25.4594,57.41,10278281.0,5915783.0,5257972.0,13421.259698407779,7724.760586174465,6865.798638795392,0.05199492061308086,18139.0,42503.0592,37.1,30.07,27.54,26.88,3.1932954880608353,26.31539367354631,26.643252213083898,26.841928303309356,25.9906,22.8,Multi-line Insurance
2023-06-19,MET,27.1933,27.0747,24.743,25.8908,53.44,5981457.0,5818624.0,5248174.0,7810.51686199679,7597.891427727259,6853.004463911241,0.015108919822868766,5326.0,41752.5551,37.59,30.17,30.25,28.16,3.1932954880608353,26.432688485920636,26.759109942036563,26.63857691563121,25.6152,21.55,Multi-line Insurance
2023-06-20,MET,27.1933,27.0747,24.743,25.8908,53.44,5981457.0,5818624.0,5248174.0,7810.51686199679,7597.891427727259,6853.004463911241,0.015108919822868766,5326.0,41752.5551,37.59,30.17,30.25,28.16,3.1932954880608353,26.432688485920636,26.759109942036563,26.63857691563121,25.2519,22.05,Multi-line Insurance
2023-06-21,MET,26.5892,26.3091,23.9277,24.9473,53.54,4225052.0,5796455.0,5257147.0,5517.023812076854,7568.943591849742,6864.721471496302,0.007484755107286197,2650.0,41775.5287,37.54,30.16,26.22,27.25,3.1932954880608353,25.810792555512926,26.144979568551975,25.86006849971593,25.1162,21.53,Multi-line Insurance
2023-06-22,MET,27.3235,26.898,25.1719,25.6997,50.64,4228053.0,5770298.0,5267351.0,5520.94233532473,7534.787883604965,6878.045552152505,0.007708242323464341,2735.0,41247.1134,37.43,30.13,22.65,24.55,3.1932954880608353,26.56661641898948,26.89141223978391,26.458964530003815,24.4976,21.58,Multi-line Insurance
2023-06-23,MET,27.7275,27.3905,25.0583,25.9354,48.44,7023124.0,5776710.0,5298693.0,9170.713255685474,7543.160418533239,6918.971405446897,0.013017459611007011,4592.0,40841.2293,37.42,30.16,17.61,22.93,3.1932954880608353,26.981951596460203,27.301806831233716,26.95948609024289,24.4575,21.57,Multi-line Insurance
2023-06-26,MET,27.2698,26.7542,24.2501,24.6574,51.59,5637924.0,5779477.0,5328511.0,7361.935364390704,7546.773619861264,6957.907479853378,0.010712800278780112,3812.0,41400.2781,36.14,30.22,19.6,23.9,3.1932954880608353,26.51138336156228,26.83684765467062,26.312765298235,25.379,21.35,Multi-line Insurance
2023-06-27,MET,26.5714,26.3824,23.6869,23.6863,55.25,4812355.0,5773236.0,5324382.0,6283.9171974371,7538.624433414197,6952.516099814861,0.008848814795956906,3163.0,42104.832,32.44,30.29,19.18,25.32,3.1932954880608353,25.792455363220487,26.126876927026697,25.934637644663557,24.7785,21.75,Multi-line Insurance
2023-06-28,MET,26.6904,26.8549,24.6343,24.9616,54.73,5112123.0,5777821.0,5346006.0,6675.350845849118,7544.611563437498,6980.7525511444965,0.007392576191498677,2651.0,42020.5912,31.82,30.22,19.23,22.99,3.1932954880608353,25.915032468891898,26.24789233748112,26.41514819208857,25.1417,21.15,Multi-line Insurance
2023-06-29,MET,25.9301,25.6429,23.991,24.1785,59.65,5015102.0,5780183.0,5370230.0,6548.661789603719,7547.695649862553,7012.383796457894,0.009194124431968204,3308.0,43023.8176,32.84,30.33,23.84,23.25,3.1932954880608353,25.13128611340298,25.474388825053293,25.18199198653673,24.5707,21.18,Multi-line Insurance
2023-06-30,MET,25.8078,25.4329,22.3608,23.4975,60.85,5850564.0,5775458.0,5402742.0,7639.598536203132,7541.525993511509,7054.83776857807,0.010292674333744369,3681.0,43291.8538,29.6,30.33,23.21,20.6,3.1932954880608353,25.005079414865317,25.34989035163663,24.968115716048736,24.547,19.67,Multi-line Insurance
