PriceDate,symbol,impvol180,impvol90,impvol10,impvol30,rsi,volume,volume3mo,volume6mo,turnover,turnover3m,turnover6m,liquidity_ratio,volume_op,marketcap,cc30,cencc180,cencc5,cencc10,avgimpliedmove,impvol180theta,cIV180,cIV90,IVE,Forward_RV,industrysubgroup
2023-06-19,COF,31.883,32.1878,27.0404,34.9573,59.73,2230452.0,3238995.0,3378467.0,5841.842950189166,8483.347817593904,8848.643067143674,0.056610934790432874,8651.0,41662.6952,29.14,35.29,18.95,22.11,5.6403193401709615,29.820678730766232,31.301790507892672,31.61219493866252,30.1959,22.69,Finance-Credit Card
2023-06-20,COF,31.883,32.1878,27.0404,34.9573,59.73,2230452.0,3238995.0,3378467.0,5841.842950189166,8483.347817593904,8848.643067143674,0.056610934790432874,8651.0,41662.6952,29.14,35.29,18.95,22.11,5.6403193401709615,29.820678730766232,31.301790507892672,31.61219493866252,30.2839,22.84,Finance-Credit Card
2023-06-21,COF,31.5351,31.3832,25.8189,34.2583,57.53,1741568.0,3223700.0,3358900.0,4561.392536227677,8443.28853024238,8797.394870562128,0.019640539839086427,3027.0,41341.9765,28.91,35.15,16.05,17.76,5.6403193401709615,29.448424796134233,30.947357431774364,30.79255822824729,31.0527,24.3,Finance-Credit Card
2023-06-22,COF,31.6029,31.6213,26.974,34.8015,54.02,1562992.0,3174972.0,3334449.0,4093.678643080072,8315.663207986492,8733.354142401051,0.039352145557895804,6203.0,40818.9038,28.75,34.96,16.45,17.63,5.6403193401709615,29.521017587027277,31.016442226825436,31.035189925147872,29.507,24.22,Finance-Credit Card
2023-06-23,COF,31.6136,31.5793,26.4956,35.0859,53.21,2271590.0,3162107.0,3315651.0,5949.588941468123,8281.968506173625,8684.12016401187,0.04302448995636621,6567.0,40700.5419,27.21,34.49,16.01,15.5,5.6403193401709615,29.53247188982957,31.027344471610846,30.992395655870165,28.9427,24.31,Finance-Credit Card
2023-06-26,COF,31.6839,31.6497,27.6243,35.0523,52.19,1805617.0,3151441.0,3314869.0,4729.145072429045,8254.03265266159,8682.07177773459,0.0245781221560623,3781.0,40555.4566,25.63,34.31,12.66,15.59,5.6403193401709615,29.60771369379226,31.09896974515394,31.064125773792508,29.4958,25.61,Finance-Credit Card
2023-06-27,COF,30.9474,30.7645,26.4552,33.8803,57.91,1659601.0,3146889.0,3301627.0,4346.710403355047,8242.110696790107,8647.389600812432,0.042085692554719854,6474.0,41502.3344,26.81,34.45,19.77,19.36,5.6403193401709615,28.81820184750557,30.348277821978627,30.161744980189724,29.2885,25.62,Finance-Credit Card
2023-06-28,COF,30.8308,30.8244,28.4793,34.1044,59.08,2561488.0,3145787.0,3307705.0,6708.869178210964,8239.22401569585,8663.308250951906,0.04803059998735538,7597.0,41716.1479,24.93,34.4,19.34,17.77,5.6403193401709615,28.692950695311445,30.22936699039528,30.22283963098107,30.1091,24.34,Finance-Credit Card
2023-06-29,COF,30.6977,30.5287,27.5969,33.8408,59.08,2722691.0,3134687.0,3311631.0,7131.080735764675,8210.151676540585,8673.590953972047,0.028679127725856696,4603.0,41716.1479,24.15,34.39,17.1,16.78,5.6403193401709615,28.549885748520495,30.09360705016931,29.921195224957174,29.9017,24.4,Finance-Credit Card
2023-06-30,COF,30.4644,30.0705,25.7705,33.117,59.33,2212868.0,3129506.0,3315408.0,5795.788168453874,8196.58192350624,8683.483361862218,0.061076527756233435,9056.0,41758.1468,24.09,34.34,16.99,16.51,5.6403193401709615,28.298884400689257,29.85558687013203,29.453545970731604,29.82,25.25,Finance-Credit Card
2023-07-03,COF,29.7919,29.2299,24.3923,31.7051,63.11,826630.0,3109606.0,3305497.0,2165.0511322384214,8144.461235516966,8657.525159334533,0.013163986232161189,1962.0,42399.5813,23.74,34.41,19.98,16.73,5.6403193401709615,27.573619576935734,29.169053903237927,28.594815159570448,29.998,25.3,Finance-Credit Card
2023-07-04,COF,30.5615,30.1484,26.7875,32.2996,56.69,2574338.0,3108015.0,3305136.0,6742.524966555692,8140.29421697135,8656.579671302687,0.030886482150020055,4697.0,41662.6952,20.4,34.46,16.91,18.4,5.6403193401709615,28.403388410778977,29.95466044290938,29.53307336800557,31.0505,26.59,Finance-Credit Card
2023-07-05,COF,30.5615,30.1484,26.7875,32.2996,56.69,2574338.0,3108015.0,3305136.0,6742.524966555692,8140.29421697135,8656.579671302687,0.030886482150020055,4697.0,41662.6952,20.4,34.46,16.91,18.4,5.6403193401709615,28.403388410778977,29.95466044290938,29.53307336800557,31.1883,25.91,Finance-Credit Card
